state,month,vmt,ndvi,flights,co_mean,co_max1_value,co_max1_hour,co_aqi,no2_mean,no2_max1_value,no2_max1_hour,no2_aqi,pm25_mean,pm25_max1_value,pm25_max1_hour,pm25_aqi,pm10_mean,pm10_max1_value,pm10_max1_hour,pm10_aqi,so2_mean,so2_max1_value,so2_max1_hour,so2_aqi,o3_mean,o3_max1_value,o3_max1_hour,o3_aqi,awnd,prcp,tavg,tmax,tmin,snow,snwd,ihd_deaths,copd_deaths,asthma_deaths
Massachusetts,2018-12,5445.0,0.5338345399089168,31461.0,0.2773445282258064,0.4543145161290323,10.758064516129032,4.57258064516129,9.977724505535251,19.73163303141056,10.570501615551672,18.643201440754275,7.791463695761604,11.4414837601254,5.341011284339055,39.3991198156682,7.18939393939394,7.18939393939394,0.0,6.643939393939394,0.3657447564516129,0.7541935483870967,9.958064516129031,0.667741935483871,0.0240222754342431,0.0299813895781637,12.87468982630273,27.767990074441688,4.841935483870968,69.1,3.012903225806452,6.683870967741935,-0.7806451612903226,3.0,,1045,210,
Massachusetts,2019-01,4696.0,0.492524001226096,29294.0,0.2569169736070381,0.4433289345063538,10.491935483870968,4.288856304985337,9.25990462749616,19.660061443932413,11.397081413210444,18.540706605222734,7.541714080870259,11.035885442514472,5.692091456930166,38.58131720430107,6.6000000000000005,6.6000000000000005,0.0,6.166666666666667,0.3580272516129033,0.6591935483870968,10.756451612903223,0.3935483870967742,0.0280689776674937,0.0332866004962779,12.05210918114144,30.753101736972702,5.758064516129032,92.1,-0.3806451612903226,3.629032258064516,-4.935483870967742,54.0,,1111,286,
Massachusetts,2019-02,4348.0,0.4603646925320784,27227.0,0.2608222467948718,0.415716804029304,10.026018099547512,3.953377504848093,9.196701576530613,18.846513605442176,11.10374149659864,17.801020408163264,7.955171173187774,11.369021258503402,5.234820428171268,39.55016456582633,15.3625,15.3625,0.0,14.270833333333334,0.296294525,0.6108928571428571,10.339285714285714,0.325,0.0333003638074888,0.0381955128205128,11.697039072039072,35.368996743996746,5.364285714285714,87.6,0.7928571428571427,4.871428571428572,-3.0785714285714287,294.0,,962,244,
Massachusetts,2019-03,5109.0,0.4437390488551925,32429.0,0.2773334401433691,0.4655007168458782,9.047491039426523,4.578853046594982,8.935944930721966,20.286789554531488,9.187864823348692,19.13748079877112,7.324900718356375,10.829382488479265,4.742403993855607,37.55822580645161,9.007575757575758,9.007575757575758,0.0,8.41818181818182,0.2758629917741935,0.5987849462365592,8.38010752688172,0.3353763440860214,0.0403129229390681,0.0460114879147137,9.675581288484514,42.7285635511442,5.490322580645161,75.1,3.793548387096775,8.158064516129032,-0.264516129032258,343.0,,975,256,
Massachusetts,2019-04,4865.0,0.4855959170789081,33340.0,0.269120725,0.4203876068376068,9.67542735042735,3.8764957264957265,5.936149938095238,14.004365079365078,9.592857142857143,13.244444444444444,4.631538995913919,7.590831074481075,6.254657509157509,25.44795821462488,6.316666666666666,6.316666666666666,0.0,5.916666666666667,0.2864143880459769,0.4812183908045977,8.587298850574713,0.2306896551724138,0.0375517360553239,0.0432376215738284,10.58409751168372,40.0601553618795,5.576666666666667,165.8,10.363333333333332,15.266666666666667,6.606666666666667,0.0,,1093,219,11
Massachusetts,2019-05,5553.0,0.6307399493183289,36640.0,0.3123437582565284,0.3962350230414747,7.41148233486943,4.201996927803379,5.668772288136595,12.55089802670448,10.980385206191658,11.83026113671275,4.721671559555326,7.438922850786588,5.245442290375549,25.553972520908005,7.266666666666666,7.266666666666666,0.0,6.7,0.3954421387096774,0.558709677419355,9.074193548387097,0.2290322580645161,0.0341327575682382,0.0393865177832919,10.831844499586436,36.49950372208437,4.751612903225807,85.1,14.019354838709678,18.429032258064517,10.283870967741937,0.0,,842,231,
Massachusetts,2019-06,5461.0,0.7773391253857477,38488.0,0.2009792321428571,0.2792845238095238,8.472619047619048,2.636904761904762,5.227389934199134,11.678484848484848,10.886147186147186,11.026984126984129,6.066705955190477,9.349161904761903,5.321126984126984,32.52177777777778,10.9,10.9,0.0,10.066666666666666,0.473347735,0.6165,8.046666666666667,0.2266666666666666,0.0333664089743589,0.0404538461538461,11.057692307692308,38.13076923076923,4.363333333333333,130.9,19.866666666666667,24.266666666666666,15.98,0.0,,838,230,
Massachusetts,2019-07,5860.0,0.8059324827483898,41998.0,0.2575346753200205,0.3591875832053251,8.702713773681516,3.451561699948797,5.030488207797022,11.801660575242334,10.897902431272843,11.14812754912866,8.98029961139017,13.22654761904762,5.574877112135177,44.579086021505375,13.233333333333334,13.233333333333334,0.0,12.233333333333334,0.399797329032258,0.5474193548387097,9.338709677419354,0.2580645161290322,0.0337622878839736,0.0431424659878497,10.703987336356636,42.16963292547275,4.174193548387097,147.7,25.70967741935484,30.364516129032257,21.493548387096773,0.0,,919,190,
Massachusetts,2019-08,5587.0,0.8081696321805744,43676.0,0.2423125142174432,0.3223187574671445,8.54653524492234,3.0816009557945043,5.178479294162827,11.615130568356376,10.298003072196622,10.986943164362518,6.541421537767538,9.44924590373784,5.756989247311828,35.62822580645161,11.243055555555555,11.243055555555555,0.0,10.451388888888888,0.2027363593993326,0.3297497219132369,8.188320355951058,0.1129032258064516,0.031018840942928,0.0390457402812241,10.12059553349876,36.793961952026464,4.251612903225807,88.5,23.34193548387097,27.62258064516129,19.15806451612903,0.0,,835,183,
Massachusetts,2019-09,5396.0,0.7873237765843412,38795.0,0.2784024892857142,0.4074166666666667,8.329761904761904,3.980952380952381,5.868496379365079,12.7284126984127,12.372222222222222,11.974603174603176,5.496721361707673,8.549516005291006,5.787332010582011,29.95139272030651,8.833333333333334,8.833333333333334,0.0,8.1,0.207219519367816,0.3764137931034482,9.142413793103447,0.0854022988505747,0.0264195064102564,0.0339499999999999,10.345441595441596,31.99230769230769,4.543333333333334,55.0,19.846666666666668,24.44,15.536666666666669,0.0,,787,188,
Massachusetts,2019-10,5609.0,0.6958868997939494,37790.0,0.2676013024193548,0.4587513440860215,10.14247311827957,4.537634408602151,7.0138305189822905,14.455903384713173,11.41496195066829,13.599415576389992,5.08495358390138,8.10317375125801,5.217615030810248,28.242669515669512,7.650000000000001,7.650000000000001,0.0,7.033333333333334,0.2275759,0.47,9.174193548387098,0.1516129032258064,0.0245422710031903,0.0299485111662531,11.712867777383906,27.72128677773839,5.232258064516128,113.4,14.209677419354838,17.690322580645162,10.583870967741936,0.0,,886,188,
