year,month,state,vmt
2004,11,California,29981.0
2004,11,Colorado,3314.0
2004,11,Hawaii,826.0
2004,11,Idaho,1142.0
2004,11,Montana,900.0
2004,11,Nevada,1886.0
2004,11,New Mexico,1730.0
2004,11,Oregon,2728.0
2004,11,Utah,1924.0
2004,11,Washington,4370.0
2004,11,Wyoming,649.0
2004,10,Connecticut,2848.0
2004,10,Maine,1337.0
2004,10,Massachusetts,4736.0
2004,10,New Hampshire,1179.0
2004,10,New Jersey,5924.0
2004,10,New York,11200.0
2004,10,Pennsylvania,9090.0
2004,10,Rhode Island,552.0
2004,10,Vermont,672.0
2004,10,Delaware,806.0
2004,10,District of Columbia,436.0
2004,10,Florida,16124.0
2004,10,Georgia,9849.0
2004,10,Maryland,5114.0
2004,10,North Carolina,8533.0
2004,10,South Carolina,3988.0
2004,10,Virginia,6876.0
2004,10,West Virginia,1856.0
2004,10,Illinois,9198.0
2004,10,Indiana,6364.0
2004,10,Iowa,2788.0
2004,10,Kansas,2418.0
2004,10,Michigan,8849.0
2004,10,Minnesota,4845.0
2004,10,Missouri,5506.0
2004,10,Nebraska,1722.0
2004,10,North Dakota,731.0
2004,10,Ohio,9542.0
2004,10,South Dakota,717.0
2004,10,Wisconsin,5142.0
2004,10,Alabama,5094.0
2004,10,Arkansas,2671.0
2004,10,Kentucky,4078.0
2004,10,Louisiana,3860.0
2004,10,Mississippi,3196.0
2004,10,Oklahoma,4091.0
2004,10,Tennessee,6009.0
2004,10,Texas,19408.0
2004,10,Alaska,431.0
2004,10,Arizona,4751.0
2004,10,California,28098.0
2004,10,Colorado,4005.0
2004,10,Hawaii,889.0
2004,10,Idaho,1237.0
2004,10,Montana,1030.0
2004,10,Nevada,1631.0
2004,10,New Mexico,1962.0
2004,10,Oregon,3038.0
2004,10,Utah,2077.0
2004,10,Washington,4723.0
2004,10,Wyoming,797.0
2004,9,Connecticut,2724.0
2004,9,Maine,1272.0
2004,9,Massachusetts,4519.0
2004,9,New Hampshire,1151.0
2004,9,New Jersey,6112.0
2004,9,New York,11477.0
2004,9,Pennsylvania,9063.0
2004,9,Rhode Island,1012.0
2004,9,Vermont,631.0
2004,9,Delaware,792.0
2004,9,District of Columbia,356.0
2004,9,Florida,13811.0
2004,9,Georgia,8401.0
2004,9,Maryland,4369.0
2004,9,North Carolina,7865.0
2004,9,South Carolina,3801.0
2004,9,Virginia,6529.0
2004,9,West Virginia,1839.0
2004,9,Illinois,9045.0
2004,9,Indiana,6217.0
2004,9,Iowa,2743.0
2004,9,Kansas,2348.0
2004,9,Michigan,8413.0
2004,9,Minnesota,4708.0
2004,9,Missouri,6295.0
2004,9,Nebraska,1677.0
2004,9,North Dakota,620.0
2004,9,Ohio,9287.0
2004,9,South Dakota,729.0
2004,9,Wisconsin,5136.0
2004,9,Alabama,4663.0
2004,9,Arkansas,2656.0
2004,9,Kentucky,3875.0
2004,9,Louisiana,3847.0
2004,9,Mississippi,3108.0
2004,9,Oklahoma,4062.0
2004,9,Tennessee,5867.0
2004,9,Texas,19009.0
2004,9,Alaska,427.0
2004,9,Arizona,4085.0
2004,9,California,23944.0
2004,9,Colorado,3759.0
2004,9,Hawaii,1144.0
2004,9,Idaho,1260.0
2004,9,Montana,364.0
2004,9,Nevada,1572.0
2004,9,New Mexico,1931.0
2004,9,Oregon,3083.0
2004,9,Utah,2060.0
2004,9,Washington,4882.0
2004,9,Wyoming,810.0
2005,4,Connecticut,2619.0
2005,4,Maine,1248.0
2005,4,Massachusetts,4393.0
2005,4,New Hampshire,1108.0
2005,4,New Jersey,5770.0
2005,4,New York,11160.0
2005,4,Pennsylvania,8829.0
2005,4,Rhode Island,647.0
2005,4,Vermont,544.0
2005,4,Delaware,770.0
2005,4,District of Columbia,325.0
2005,4,Florida,15936.0
2005,4,Georgia,9529.0
2005,4,Maryland,4601.0
2005,4,North Carolina,7874.0
2005,4,South Carolina,4228.0
2005,4,Virginia,6726.0
2005,4,West Virginia,1703.0
2005,4,Illinois,9387.0
2005,4,Indiana,6254.0
2005,4,Iowa,2644.0
2005,4,Kansas,2450.0
2005,4,Michigan,8053.0
2005,4,Minnesota,4569.0
2005,4,Missouri,5335.0
2005,4,Nebraska,1605.0
2005,4,North Dakota,631.0
2005,4,Ohio,8939.0
2005,4,South Dakota,678.0
2005,4,Wisconsin,5077.0
2005,4,Alabama,5147.0
2005,4,Arkansas,2431.0
2005,4,Kentucky,3899.0
2005,4,Louisiana,3780.0
2005,4,Mississippi,3304.0
2005,4,Oklahoma,3600.0
2005,4,Tennessee,5847.0
2005,4,Texas,18447.0
2005,4,Alaska,425.0
2005,4,Arizona,5009.0
2005,4,California,27567.0
2005,4,Colorado,3747.0
2005,4,Hawaii,761.0
2005,4,Idaho,1204.0
2005,4,Montana,926.0
2005,4,Nevada,1788.0
2005,4,New Mexico,1921.0
2005,4,Oregon,2762.0
2005,4,Utah,2089.0
2005,4,Washington,4532.0
2005,4,Wyoming,719.0
2005,8,Connecticut,2813.0
2005,8,Maine,1366.0
2005,8,Massachusetts,4699.0
2005,8,New Hampshire,1265.0
2005,8,New Jersey,6169.0
2005,8,New York,12539.0
2005,8,Pennsylvania,9959.0
2005,8,Rhode Island,842.0
2005,8,Vermont,747.0
2005,8,Delaware,892.0
2005,8,District of Columbia,335.0
2005,8,Florida,16661.0
2005,8,Georgia,9425.0
2005,8,Maryland,5129.0
2005,8,North Carolina,8411.0
2005,8,South Carolina,4240.0
2005,8,Virginia,7192.0
2005,8,West Virginia,1783.0
2005,8,Illinois,9555.0
2005,8,Indiana,6058.0
2005,8,Iowa,2794.0
2005,8,Kansas,2478.0
2005,8,Michigan,8893.0
2005,8,Minnesota,5354.0
2005,8,Missouri,6060.0
2005,8,Nebraska,1768.0
2005,8,North Dakota,749.0
2005,8,Ohio,9725.0
2005,8,South Dakota,888.0
2005,8,Wisconsin,5566.0
2005,8,Alabama,5232.0
2005,8,Arkansas,2696.0
2005,8,Kentucky,4151.0
2005,8,Louisiana,4061.0
2005,8,Mississippi,3355.0
2005,8,Oklahoma,4202.0
2005,8,Tennessee,6154.0
2005,8,Texas,19915.0
2005,8,Alaska,492.0
2005,8,Arizona,4400.0
2005,8,California,29795.0
2005,8,Colorado,4314.0
2005,8,Hawaii,789.0
2005,8,Idaho,1456.0
2005,8,Montana,1186.0
2005,8,Nevada,1739.0
2005,8,New Mexico,2027.0
2005,8,Oregon,3517.0
2005,8,Utah,2397.0
2005,8,Washington,5325.0
2005,8,Wyoming,957.0
2005,12,Connecticut,2569.0
2005,12,Maine,1189.0
2005,12,Massachusetts,4417.0
2005,12,New Hampshire,1048.0
2005,12,New Jersey,6054.0
2005,12,New York,11140.0
2005,12,Pennsylvania,9979.0
2005,12,Rhode Island,633.0
2005,12,Vermont,660.0
2005,12,Delaware,670.0
2005,12,District of Columbia,288.0
2005,12,Florida,16111.0
2005,12,Georgia,9245.0
2005,12,Maryland,4377.0
2005,12,North Carolina,7728.0
2005,12,South Carolina,3994.0
2005,12,Virginia,6382.0
2005,12,West Virginia,1587.0
2005,12,Illinois,8439.0
2005,12,Indiana,5861.0
2005,12,Iowa,2379.0
2005,12,Kansas,2239.0
2005,12,Michigan,8052.0
2005,12,Minnesota,4551.0
2005,12,Missouri,5743.0
2005,12,Nebraska,1495.0
2005,12,North Dakota,556.0
2005,12,Ohio,8886.0
2005,12,South Dakota,626.0
2005,12,Wisconsin,4542.0
2005,12,Alabama,4711.0
2005,12,Arkansas,2705.0
2005,12,Kentucky,3760.0
2005,12,Louisiana,3629.0
2005,12,Mississippi,3046.0
2005,12,Oklahoma,3503.0
2005,12,Tennessee,5593.0
2005,12,Texas,18691.0
2005,12,Alaska,361.0
2005,12,Arizona,5182.0
2005,12,California,30974.0
2005,12,Colorado,3668.0
2005,12,Hawaii,899.0
2005,12,Idaho,1100.0
2005,12,Montana,896.0
2005,12,Nevada,1707.0
2005,12,New Mexico,1908.0
2005,12,Oregon,2625.0
2005,12,Utah,1931.0
2005,12,Washington,4122.0
2005,12,Wyoming,680.0
2005,2,Connecticut,2257.0
2005,2,Maine,1092.0
2005,2,Massachusetts,4163.0
2005,2,New Hampshire,964.0
2005,2,New Jersey,4680.0
2005,2,New York,9886.0
2005,2,Pennsylvania,7396.0
2005,2,Rhode Island,544.0
2005,2,Vermont,588.0
2005,2,Delaware,600.0
2005,2,District of Columbia,283.0
2005,2,Florida,14762.0
2005,2,Georgia,8547.0
2005,2,Maryland,3897.0
2005,2,North Carolina,6879.0
2005,2,South Carolina,3743.0
2005,2,Virginia,5763.0
2005,2,West Virginia,1206.0
2005,2,Illinois,7670.0
2005,2,Indiana,5336.0
2005,2,Iowa,2168.0
2005,2,Kansas,2137.0
2005,2,Michigan,7359.0
2005,2,Minnesota,3975.0
2005,2,Missouri,4696.0
2005,2,Nebraska,1342.0
2005,2,North Dakota,525.0
2005,2,Ohio,7995.0
2005,2,South Dakota,580.0
2005,2,Wisconsin,4094.0
2005,2,Alabama,4516.0
2005,2,Arkansas,2181.0
2005,2,Kentucky,3275.0
2005,2,Louisiana,3148.0
2005,2,Mississippi,2835.0
2005,2,Oklahoma,3492.0
2005,2,Tennessee,5411.0
2005,2,Texas,17054.0
2005,2,Alaska,327.0
2005,2,Arizona,4677.0
2005,2,California,23158.0
2005,2,Colorado,3424.0
2005,2,Hawaii,653.0
2005,2,Idaho,1059.0
2005,2,Montana,813.0
2005,2,Nevada,1476.0
2005,2,New Mexico,1752.0
2005,2,Oregon,2496.0
2005,2,Utah,1731.0
2005,2,Washington,4090.0
2005,2,Wyoming,634.0
2005,1,Connecticut,2336.0
2005,1,Maine,1149.0
2005,1,Massachusetts,4323.0
2005,1,New Hampshire,1000.0
2005,1,New Jersey,4865.0
2005,1,New York,10134.0
2005,1,Pennsylvania,7340.0
2005,1,Rhode Island,426.0
2005,1,Vermont,555.0
2005,1,Delaware,660.0
2005,1,District of Columbia,287.0
2005,1,Florida,16182.0
2005,1,Georgia,9127.0
2005,1,Maryland,4356.0
2005,1,North Carolina,7198.0
2005,1,South Carolina,3882.0
2005,1,Virginia,5970.0
2005,1,West Virginia,1403.0
2005,1,Illinois,7757.0
2005,1,Indiana,5710.0
2005,1,Iowa,2074.0
2005,1,Kansas,2045.0
2005,1,Michigan,8009.0
2005,1,Minnesota,4016.0
2005,1,Missouri,4833.0
2005,1,Nebraska,1315.0
2005,1,North Dakota,499.0
2005,1,Ohio,8351.0
2005,1,South Dakota,578.0
2005,1,Wisconsin,4217.0
2005,1,Alabama,4659.0
2005,1,Arkansas,2436.0
2005,1,Kentucky,3404.0
2005,1,Louisiana,3406.0
2005,1,Mississippi,2916.0
2005,1,Oklahoma,3258.0
2005,1,Tennessee,5671.0
2005,1,Texas,17639.0
2005,1,Alaska,305.0
2005,1,Arizona,4428.0
2005,1,California,20925.0
2005,1,Colorado,3569.0
2005,1,Hawaii,749.0
2005,1,Idaho,1022.0
2005,1,Montana,796.0
2005,1,Nevada,1437.0
2005,1,New Mexico,1863.0
2005,1,Oregon,2126.0
2005,1,Utah,1835.0
2005,1,Washington,3861.0
2005,1,Wyoming,907.0
2005,7,Connecticut,2807.0
2005,7,Maine,1448.0
2005,7,Massachusetts,4833.0
2005,7,New Hampshire,1293.0
2005,7,New Jersey,5784.0
2005,7,New York,12254.0
2005,7,Pennsylvania,9595.0
2005,7,Rhode Island,745.0
2005,7,Vermont,659.0
2005,7,Delaware,918.0
2005,7,District of Columbia,337.0
2005,7,Florida,16407.0
2005,7,Georgia,9482.0
2005,7,Maryland,4850.0
2005,7,North Carolina,8363.0
2005,7,South Carolina,4571.0
2005,7,Virginia,7311.0
2005,7,West Virginia,1711.0
2005,7,Illinois,9420.0
2005,7,Indiana,6141.0
2005,7,Iowa,2856.0
2005,7,Kansas,2533.0
2005,7,Michigan,8476.0
2005,7,Minnesota,4999.0
2005,7,Missouri,6268.0
2005,7,Nebraska,1807.0
2005,7,North Dakota,792.0
2005,7,Ohio,9978.0
2005,7,South Dakota,879.0
2005,7,Wisconsin,5580.0
2005,7,Alabama,5384.0
2005,7,Arkansas,2823.0
2005,7,Kentucky,4123.0
2005,7,Louisiana,3915.0
2005,7,Mississippi,3319.0
2005,7,Oklahoma,4037.0
2005,7,Tennessee,6502.0
2005,7,Texas,18941.0
2005,7,Alaska,522.0
2005,7,Arizona,4558.0
2005,7,California,29822.0
2005,7,Colorado,3848.0
2005,7,Hawaii,742.0
2005,7,Idaho,1443.0
2005,7,Montana,1212.0
2005,7,Nevada,2091.0
2005,7,New Mexico,2091.0
2005,7,Oregon,3468.0
2005,7,Utah,2289.0
